Access Time,Parent Path
2021-12-06 12:38:48.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-12-06 12:38:51.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-12-06 12:38:54.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-09-03 10:19:12.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-10-11 10:00:47.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-10-11 10:01:06.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-10-26 11:06:35.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-10-26 11:06:58.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-10-26 11:06:54.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-08-23 14:55:35.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-07 18:29:53.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-12-06 12:27:38.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-09-06 13:09:55.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-26 15:04:53.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2022-08-31 09:21:38.000000000 -0400,iCloudDrive/Documents/Classes/CHIN 101
2022-10-09 16:47:23.000000000 -0400,iCloudDrive/Documents/Classes/CHIN 101
2022-09-06 17:51:35.000000000 -0400,iCloudDrive/Documents/Classes/CHIN 101
2022-09-06 17:51:40.000000000 -0400,iCloudDrive/Documents/Classes/CHIN 101
2022-10-09 11:20:18.000000000 -0400,iCloudDrive/Documents/Classes/CHIN 101
2021-10-29 14:23:45.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-11-26 15:07:18.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233
2021-11-12 12:03:00.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-11-26 14:51:18.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-09-03 10:36:17.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2023-10-05 16:11:06.103312100 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-11-29 08:51:47.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2023-10-05 16:09:42.404375700 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-09-03 14:52:07.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-09-12 16:21:58.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2023-10-05 16:11:07.106973300 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2023-10-05 16:06:30.645341400 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2023-10-05 16:06:43.153681900 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2023-10-05 16:06:54.427995300 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2023-11-30 16:47:41.065181800 -0500,iCloudDrive/Documents/Classes/CSDS 233/Asssignments/P3_gew39_Wolf/P3
2021-10-13 16:24:14.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments/P3_gew39_Wolf/P3
2023-10-05 16:07:35.784991000 -0400,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-11-11 12:36:37.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-11-29 08:50:47.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-12-04 19:19:13.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2021-11-23 16:03:43.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233/Asssignments
2023-10-05 16:09:56.686832300 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-03 09:38:24.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2023-10-05 16:10:03.357475500 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-08-23 08:03:06.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-10 17:47:10.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-11 10:01:57.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-11 10:02:03.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-11 10:02:08.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-11 10:02:11.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-11 10:02:14.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-14 14:52:20.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-26 17:48:49.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-03 10:20:57.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-03 10:21:04.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-03 10:21:12.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-07 22:26:52.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-09 14:53:50.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-14 20:02:22.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-16 15:40:44.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-10-11 10:01:43.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-03 10:20:45.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-09-03 09:38:29.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
2021-11-23 17:35:38.000000000 -0500,iCloudDrive/Documents/Classes/CSDS 233
2021-10-11 09:20:24.000000000 -0400,iCloudDrive/Documents/Classes/CSDS 233
