"DirectoryPath","Confidence Score","Photos Directory?"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\prisma\migrations\20231025180711_rename_models","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\undici\lib\node","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\svelte\src\runtime\internal\disclose-version","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\@nodelib\fs.scandir\out\providers","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\.vite\deps","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\yargs\build","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\playwright\lib\runner","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\undici\docs\api","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\magic-string","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@jest\test-sequencer\build","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\callsites","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\mdn-data","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\yargs\lib\platform-shims","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@babel\core\lib\vendor","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\nanoid\async","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\chokidar","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\is-reference","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@babel\core\lib\parser\util","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\espree\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\jest-docblock\build","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\makeerror","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\.vite","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\css-tree\lib\syntax\config","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\cac","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\fs.realpath","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@jest\source-map\build","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\@nodelib\fs.walk\out","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\svelte-hmr\runtime","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@babel\helper-validator-identifier\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\parent-module","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\cross-spawn\lib\util","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\resolve\test\precedence\aaa","0","No"
"C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Exploring Magnetism","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\svelte\src\shared","0","No"
"C:\Users\gabee\iCloudDrive\Desktop\Safe Storage\daemons","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\css-tree\cjs\syntax\config","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\.svelte-kit\types\src\routes\logout","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\istanbul-lib-instrument\node_modules\lru-cache","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\once","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\tiny-glob","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\playwright-core\lib\server\dispatchers","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\acorn\dist","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\fastq\.github","0","No"
